trueclass;filename;conceptacles;perithallus;crystallites;epithallus;ipothallus;surface
corallioides;13_01_002.jpg;0;0;0;1;0;0
corallioides;13_01_003.jpg;0;0;0;1;0;0
corallioides;13_01_004.jpg;0;0;0;1;0;0
corallioides;13_02_011_mod1.jpg;0;1;0;0;0;0
corallioides;13_02_011mod2.jpg;0;1;0;0;0;0
corallioides;13_02_012.jpg;0;1;0;0;0;0
corallioides;13_02_013.jpg;0;0;1;0;0;0
corallioides;13_02_014.jpg;0;0;1;0;0;0
corallioides;13_02_015.jpg;0;1;0;0;0;0
corallioides;13_02_016.jpg;0;1;0;0;0;0
corallioides;13_02_017.jpg;0;0;1;0;0;0
corallioides;13_02_018.jpg;0;0;0;1;0;0
corallioides;13_02_019.jpg;0;0;0;1;0;0
corallioides;13_02_020.jpg;0;0;0;1;0;0
corallioides;13_02_021.jpg;0;0;1;0;0;0
corallioides;13_03_023.jpg;0;1;0;0;0;0
corallioides;13_03_024.jpg;0;1;0;0;0;0
corallioides;13_03_025.jpg;0;1;0;0;0;0
corallioides;13_03_026.jpg;0;0;1;0;0;0
corallioides;13_03_027.jpg;0;1;0;0;0;0
corallioides;13_03_028.jpg;0;1;0;0;0;0
corallioides;13_03_030.jpg;0;0;1;0;0;0
corallioides;13_03_031.jpg;0;0;0;1;0;0
corallioides;13_03_032.jpg;0;0;0;1;0;0
corallioides;13_04_034.jpg;0;0;0;0;0;1
corallioides;14_01_002_mod1.jpg;0;1;0;0;0;0
corallioides;14_01_002_mod2.jpg;0;1;0;0;0;0
corallioides;14_01_003.jpg;0;1;0;0;0;0
corallioides;14_01_005.jpg;0;0;1;0;0;0
corallioides;14_01_006.jpg;0;1;0;0;0;0
corallioides;14_01_008.jpg;0;0;1;0;0;0
corallioides;14_01_009.jpg;0;0;1;0;0;0
corallioides;14_01_010.jpg;0;1;0;0;0;0
corallioides;14_01_011.jpg;0;0;0;1;0;0
corallioides;14_02_013.jpg;0;0;0;1;0;0
corallioides;14_02_014.jpg;0;0;0;1;0;0
corallioides;14_02_015.jpg;0;0;0;1;0;0
corallioides;14_02_016.jpg;0;1;0;1;0;0
corallioides;14_02_017.jpg;0;1;0;0;0;0
corallioides;14_02_018.jpg;0;0;1;0;0;0
corallioides;14_02_019.jpg;0;0;1;0;0;0
corallioides;14_02_020.jpg;0;0;1;0;0;0
corallioides;14_02_021.jpg;0;1;0;0;0;0
corallioides;14_02_022.jpg;0;1;0;0;0;0
corallioides;14_02_023.jpg;0;0;1;0;0;0
corallioides;14_02_024.jpg;0;1;0;0;0;0
corallioides;14_02_025.jpg;0;1;0;0;0;0
corallioides;14_02_026.jpg;0;0;1;0;0;0
corallioides;14_03_029.jpg;0;0;0;0;0;1
philippii;B1_A_03.jpg;1;0;0;0;1;0
philippii;B1_A_04.jpg;0;1;0;1;0;0
philippii;B1_A_06.jpg;0;1;0;1;0;0
